id	item1	num1	rate1	item2	num2	rate2	item3	num3	rate3	item4	num4	rate4	item5	num5	rate5	item6	num6	rate6	item7	num7	rate7	item8	num8	rate8	item9	num9	rate9	item10	num10	rate10
type	String	Int	Int	String	Int	Int	String	Int	Int	String	Int	Int	String	Int	Int	String	Int	Int	String	Int	Int	String	Int	Int	String	Int	Int	String	Int	Int
note	物品ID	物品数量	物品概率	物品ID	物品数量	物品概率	物品ID	物品数量	物品概率	物品ID	物品数量	物品概率	物品ID	物品数量	物品概率	物品ID	物品数量	物品概率	物品ID	物品数量	物品概率	物品ID	物品数量	物品概率	物品ID	物品数量	物品概率	物品ID	物品数量	物品概率
default	100	0	0	3100	1	0	201	1	0	301	1	0	201	2	0	301	2	0	0	0	0	0	0	0	0	0	0	0	0	0
1000	8200	1	10000	3100	1	10000	201	1	2000	301	1	2000	201	2	1000	301	2	1000	0	0	0	0	0	0	0	0	0	0	0	0
1001	201	1	1000	211	1	1000	301	1	1000	3000	1	10000	4100	1	10000	201	1	1000	212	1	1000	0	0	0	0	0	0	0	0	0
1002	101	300	3000	305	1	1000	212	1	1000	6200	1	10000	7000	1	10000	303	1	1000	301	1	1000	0	0	0	0	0	0	0	0	0
1003	201	1	2000	6100	1	10000	8000	1	10000	303	1	1000	301	1	1000	201	1	1000	0	0	0	0	0	0	0	0	0	0	0	0
1004	4000	1	10000	5200	1	10000	305	1	2000	201	1	1000	212	1	1000	211	1	1000	0	0	0	0	0	0	0	0	0	0	0	0
1005	212	1	1000	6000	1	10000	102	5	10000	101	400	1000	511	1	1000	7100	1	10000	0	0	0	0	0	0	0	0	0	0	0	0
1006	7200	1	10000	212	1	1000	211	5	1000	101	400	1000	5100	1	10000	303	2	1000	305	3	1000	0	0	0	0	0	0	0	0	0
1007	301	3	1000	303	3	1000	305	2	1000	201	3	1000	5000	1	10000	3200	1	10000	521	1	10000	0	0	0	0	0	0	0	1	0
1008	201	3	1000	211	3	1000	212	2	1000	8100	1	1000	1301	1	10000	301	1	1000	303	1	1000	0	0	0	0	0	0	0	0	0
1009	1401	1	10000	201	1	2000	101	500	1000	4200	1	10000	301	1	1000	303	1	1000	0	0	0	0	0	0	0	0	0	0	0	0
1010	201	1	2000	202	1	2000	5005	1	10000	211	2	3000	301	2	3000	303	2	3000	305	2	3000	0	0	0	0	0	0	0	0	0
1011	101	400	3000	302	1	2000	304	1	2000	102	5	10000	212	1	10000	212	1	2000	202	2	3000	305	2	3000	0	0	0	0	0	0
1012	301	1	3000	302	1	3000	303	1	3000	304	2	3000	202	2	2000	101	500	3000	3205	1	10000	304	1	2000	0	0	0	0	0	0
1013	306	1	2000	304	1	3000	302	1	3000	212	2	3000	202	1	3000	6005	1	10000	201	3	2000	0	0	0	0	0	0	0	0	0
1014	1308	1	10000	301	2	3000	101	600	3000	302	2	2000	303	2	3000	302	2	3000	212	1	4000	201	3	4000	0	0	0	0	0	0
1015	201	3	4000	202	2	3000	101	600	3000	302	2	3000	4205	1	10000	301	3	4000	201	3	4000	0	0	0	0	0	0	0	0	0
1016	202	2	3000	305	3	4000	306	2	3000	1407	1	10000	305	3	3000	303	3	4000	211	2	4000	101	700	3000	0	0	0	0	0	0
1017	7005	1	10000	101	500	5000	101	700	4000	301	5	2000	304	3	4000	201	2	3000	301	1	4000	303	1	4000	0	0	0	0	0	0
1018	303	2	3000	304	2	3000	302	3	2000	512	1	10000	1207	1	10000	303	3	4000	301	2	4000	304	2	3000	0	0	0	0	0	0
1019	201	2	4000	202	1	3000	211	3	4000	212	2	3000	8106	1	10000	305	2	3000	521	1	10000	0	0	0	0	0	0	0	0	0
1020	101	400	3000	101	600	3000	101	1000	2000	201	3	3000	211	2	2000	212	1	3000	301	3	3000	0	0	0	0	0	0	0	0	0
1021	303	2	2000	202	3	3000	101	800	2000	304	1	2000	501	2	2000	521	1	2000	305	3	2000	0	0	0	0	0	0	0	0	0
1022	212	1	4000	301	2	2000	305	3	1000	212	3	2000	202	3	1000	201	5	2000	521	2	2000	581	3	3000	0	0	0	0	0	0
1023	522	1	2000	303	5	2000	301	3	3000	1309	1	10000	101	600	2000	101	800	2000	591	2	2000	0	0	0	0	0	0	0	0	0
1024	551	2	2000	532	1	1000	303	2	2000	301	3	1000	211	2	3000	212	2	2000	305	5	2000	0	0	0	0	0	0	0	0	0
1025	501	2	1000	301	5	2000	303	3	3000	305	3	3000	102	10	10000	211	5	1000	212	3	2000	201	2	3000	0	0	0	0	0	0
1026	212	5	2000	1409	1	10000	211	3	3000	201	5	2000	202	3	3000	303	3	3000	305	2	3000	531	2	2000	0	0	0	0	0	0
1027	521	3	2000	212	1	5000	101	800	2000	101	1000	2000	201	5	2000	202	2	2000	212	3	2000	211	5	1000	0	0	0	0	0	0
1028	1209	1	10000	542	1	1000	212	3	2000	303	5	1000	301	5	1000	305	5	1000	201	3	2000	101	600	2000	0	0	0	0	0	0
1029	551	2	1000	101	800	2000	101	1000	1000	212	5	1000	211	3	3000	212	3	2000	303	2	3000	305	3	2000	301	5	1000	0	0	0
