id	type	time	pic	regid	pos	from	to	fromv3	tov3	eff_time	repeattype
type	String	Float	String	String	Vector3	Float	Float	Vector3	Vector3	Float	String
note	类型	触发相对时间	资源名字	注册名字	坐标	开始点	结束点	开始V3	结束V3	特效时间	重复类别
default	none	0	0	0	0|0|0	0	0	0|0|0	0|0|0	1	Once
1	alpha	0		gamecg_text1a		0	1			0.5	
2	alpha	0		gamecg_text1b		0	1			0.5	
3	alpha	1		mowang_tou		0	1			0.5	
4	alpha	0		mowang_xiaba		0	1			0.5	
5	alpha	0		mowang_qugan		0	1			0.5	
6	alpha	0		gamecg_bg		0	1			0.5	
7	alpha	0		gamecg_shitou		0	1			0.5	
8	alpha	0		mowang_shoubi_you1		0	1			0.5	
9	alpha	0		mowang_shoubi_you2		0	1			0.5	
10	alpha	0		mowang_shouzhang_you		0	1			0.5	
11	alpha	0		mowang_shouzhi1_you		0	1			0.5	
12	alpha	0		mowang_shouzhi2_you		0	1			0.5	
13	alpha	0		mowang_shouzhi3_you		0	1			0.5	
14	alpha	0		mowang_shouzhi4_you		0	1			0.5	
15	alpha	0		mowang_shouzhi5_you		0	1			0.5	
16	alpha	0		mowang_shoubi_zuo1		0	1			0.5	
17	alpha	0		mowang_shoubi_zuo2		0	1			0.5	
18	alpha	0		mowang_shouzhang_zuo		0	1			0.5	
19	alpha	1		mowang_chibang_you		0	1			0.5	
20	alpha	0		mowang_chibang_zuo		0	1			0.5	
21	moveR	0		gamecg_zhanshi_all_youshou		0	1	2|2|0	-2|-2|0	2	PingPang
22	moveR	0		mowang_qugan		0	1	0|5|0	0|-5|0	4	PingPang
23	moveR	0		mowang_tou		0	1	0|2|0	0|-2|0	4	PingPang
24	moveR	0		mowang_xiaba		0	1	0|3|0	0|-3|0	4	PingPang
25	moveR	0		mowang_shoubi_zuo1		0	1	0|2|0	0|-2|0	4	PingPang
26	moveR	0		mowang_shoubi_zuo2		0	1	-4|3|0	4|-3|0	4	PingPang
27	moveR	0		mowang_shouzhang_zuo		0	1	-6|0|0	6|0|0	4	PingPang
28	moveR	0		mowang_shoubi_you1		0	1	0|4|0	0|-4|0	4	PingPang
29	moveR	0		mowang_shoubi_you2		0	1	4|5|0	-4|-5|0	4	PingPang
30	moveR	0		mowang_shouzhang_you		0	1	6|0|0	-6|0|0	4	PingPang
31	moveR	0		mowang_shouzhi1_you		0	1	2|4|0	-2|-4|0	4	PingPang
32	moveR	0		mowang_shouzhi2_you		0	1	0|4|0	0|-4|0	4	PingPang
33	moveR	0		mowang_shouzhi3_you		0	1	4|4|0	-4|-4|0	4	PingPang
34	moveR	0		mowang_shouzhi4_you		0	1	0|4|0	0|-4|0	4	PingPang
35	moveR	0		mowang_shouzhi5_you		0	1	-3|4|0	3|-4|0	4	PingPang
36	scale	0		mowang_chibang_you		0	1	0.95|1|1	1.03|1|1	4	PingPang
37	scale	0		mowang_chibang_zuo		0	1	0.95|1|1	1.03|1|1	4	PingPang
38	scale	0		mowang_tou		0	1	0.99|0.99|1	1.01|1.01|1	4	PingPang
39	alpha	3		gamecg_text1a		1	0			0.5	
40	alpha	0		gamecg_text1b		1	0			0.5	
41	alpha	1		gamecg_text2a		0	1			0.5	
42	alpha	0		gamecg_text2b		0	1			0.5	
43	alpha	1		gamecg_zhanshi_all_youshou		0	1			0.5	
44	alpha	0		gamecg_zhanshi_all		0	1			0.5	
45	alpha	0		fashi_all		0	1			1	
46	moveR	0		fashi_all		0	1	-100|-40|0	0|0|0	1	
47	alpha	0		gamecg_cike_all		0	1			1	
48	moveR	0		gamecg_cike_all		0	1	100|-40|0	0|0|0	1	
49	scale	0.1		gamecg_cike_all_piaodai1		0	1	0.92|1|1	1.08|1|1	2	PingPang
50	scale	0.1		gamecg_cike_all_piaodai1		0	1	1|0.95|1	1|1.05|1	2	PingPang
51	scale	0.1		gamecg_cike_all_piaodai2		0	1	0.92|1|1	1.08|1|1	2	PingPang
52	scale	0.1		gamecg_cike_all_piaodai2		0	1	1|0.95|1	1|1.05|1	2	PingPang
53	scale	0.1		fashi_all_toufa		0	1	0.98|1|1	1.02|1|1	2	PingPang
54	scale	0.1		fashi_all_toufa		0	1	1|0.98|1	1|1.02|1	2	PingPang
55	scale	0.1		fashi_all_piaodai		0	1	0.95|1|1	1.05|1|1	2	PingPang
56	scale	0.1		fashi_all_piaodai		0	1	1|0.98|1	1|1.02|1	2	PingPang
57	alpha	3		gamecg_text2a		1	0			0.5	
58	alpha	0		gamecg_text2b		1	0			0.5	
59	alpha	1		gamecg_text3a		0	1			0.5	
60	alpha	0		gamecg_text3b		0	1			0.5	
10000	endcg	4									
