id	name	att	def	hp	hprecover	crit	critdamage	ignoredef	hpabsorb	movespeed	tough	parts	composition	gemid
type	String	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int
note	宝石名称	攻击力	防御力	生命值	生命恢复	暴击率	暴击伤害	破防	吸血	移动速度	韧性	镶嵌部位	所需金币	合成宝石ID
default	宝石名称	0	0	0	0	0	0	0	0	0	0	0|0	0	0
501	红宝石1级	3										1|4|5	0	502
502	红宝石2级	6										1|4|5	0	503
503	红宝石3级	12										1|4|5	0	504
504	红宝石4级	24										1|4|5	0	505
505	红宝石5级	48										1|4|5	0	506
506	红宝石6级	96										1|4|5	0	0
511	蓝宝石1级		2									2|3|6|7	0	512
512	蓝宝石2级		4									2|3|6|7	0	513
513	蓝宝石3级		8									2|3|6|7	0	514
514	蓝宝石4级		16									2|3|6|7	0	515
515	蓝宝石5级		32									2|3|6|7	0	516
516	蓝宝石6级		64									2|3|6|7	0	0
521	绿宝石1级			75								2|3|6	0	522
522	绿宝石2级			150								2|3|6	0	523
523	绿宝石3级			300								2|3|6	0	524
524	绿宝石4级			600								2|3|6	0	525
525	绿宝石5级			1200								2|3|6	0	526
526	绿宝石6级			2400								2|3|6	0	0
531	黄宝石1级				2							3|0	0	532
532	黄宝石2级				4							3|0	0	533
533	黄宝石3级				8							3|0	0	534
534	黄宝石4级				16							3|0	0	535
535	黄宝石5级				32							3|0	0	536
536	黄宝石6级				64							3|0	0	0
541	绿晶石1级					5						1|5	0	542
542	绿晶石2级					10						1|5	0	543
543	绿晶石3级					20						1|5	0	544
544	绿晶石4级					40						1|5	0	545
545	绿晶石5级					80						1|5	0	546
546	绿晶石6级					160						1|5	0	0
551	石榴石1级						4					1|4|5	0	552
552	石榴石2级						8					1|4|5	0	553
553	石榴石3级						16					1|4|5	0	554
554	石榴石4级						32					1|4|5	0	555
555	石榴石5级						64					1|4|5	0	556
556	石榴石6级						128					1|4|5	0	0
561	紫水晶1级							10				4|0	0	562
562	紫水晶2级							20				4|0	0	563
563	紫水晶3级							40				4|0	0	564
564	紫水晶4级							80				4|0	0	565
565	紫水晶5级							160				4|0	0	566
566	紫水晶6级							320				4|0	0	0
571	黑晶石1级								15			1|0	0	572
572	黑晶石2级								30			1|0	0	573
573	黑晶石3级								60			1|0	0	574
574	黑晶石4级								120			1|0	0	575
575	黑晶石5级								240			1|0	0	576
576	黑晶石6级								480			1|0	0	0
581	猫眼石1级									1		7|0	0	582
582	猫眼石2级									2		7|0	0	583
583	猫眼石3级									4		7|0	0	584
584	猫眼石4级									6		7|0	0	585
585	猫眼石5级									9		7|0	0	586
586	猫眼石6级									13		7|0	0	0
591	蓝水晶1级										3	2|3|6|7	0	592
592	蓝水晶2级										6	2|3|6|7	0	593
593	蓝水晶3级										12	2|3|6|7	0	594
594	蓝水晶4级										24	2|3|6|7	0	595
595	蓝水晶5级										48	2|3|6|7	0	596
596	蓝水晶6级										96	2|3|6|7	0	0
