id	maplv	quality	num	name	info	playmode	playModeName	default	modelicon	pic	players	needpower	gold	diamonds	exp	drop1	drop2	drop3	drop4	drop5	dropA	dropB	dropC	dropD	dropE	dropF	dropG	dropH	dropI	dropJ
type	Int	Int	Int	String	String	String	String	String	String	String	Int	Int	Int	Int	Int	String	String	String	String	String	String	String	String	String	String	String	String	String	String	String
note	地图等级	稀有度	同类地图数量	地图名字	地图说明	玩法类别	玩法名字	难度等级	玩法图标	显示图片	需求玩家	需要体力	奖励金币	奖励钻石	奖励经验	掉落展示1	掉落展示2	掉落展示3	掉落展示4	掉落展示5	A点掉落包	B点掉落包	C点掉落包	D点掉落包	E点掉落包	F点掉落包	G点掉落包	H点掉落包	I点掉落包	J点掉落包
default	1	1	2	决战之地	决战之地	boss	首领	999999	battlepool_model_06	stage1	99	100	0	0	0	0	0	0	0	0	1060	1060	1060	1060	1060	1060	1060	1060	1060	1060
damijing_0	4	1	4	暴走的遗迹	上古遗迹突然出现暴动！里面出现了许多实力强劲的魔王部下。快去打探一下原因吧。坚持的时间越长，奖励越丰富哦！	damijing	秘境	2253	battlepool_model_06	stage1	1	5	300	0	1000	100	101	110			1060	1000	1000	1000	1001	1001	1001	1001	1001	1001
damijing_1	6	1	4	深渊	这里是大秘境2的说明	damijing	秘境	3426	battlepool_model_06	stage2	1	5	400	0	1000	100	101	110			1068	1002	1002	1002	1003	1003	1003	1003	1003	1003
damijing_2	11	1	4	藏宝之地	这里是大秘境3的说明	damijing	秘境	10812	battlepool_model_06	stage3	2	5	500	0	1000	100	101	110			1004	1004	1004	1004	1005	1005	1005	1005	1005	1005
damijing_3	15	1	4	沙漠秘境	这里是大秘境4的说明	damijing	秘境	13400	battlepool_model_06	stage4	1	5	500	0	1000	100	101	110			1004	1004	1004	1004	1005	1005	1005	1005	1005	1005
jianshou_0	3	1	4	坚持	大祭司带着部队正围剿着魔王的一个据点，据消息：魔王的部队正在赶去支援。而这里是他们的必经之路，协助圣女守住这个要塞，为大祭司拖延时间。坚守的时间越长奖励越丰富！	jianshou	坚守	1892	battlepool_model_01	stage1	1	5	300	0	1000	101	201	211			1000	1061	1000	1000	1001	1001	1001	1001	1001	1001
jianshou_1	6	1	4	破除封印	这里是坚守2的说明	jianshou	坚守	3426	battlepool_model_01	stage2	2	5	400	0	1000	101	201	211			1002	1069	1002	1002	1003	1003	1003	1003	1003	1003
jianshou_2	11	1	4	守护	这里是坚守3的说明	jianshou	坚守	10812	battlepool_model_01	stage3	1	5	300	0	1000	101	201	211			1000	1061	1000	1000	1001	1001	1001	1001	1001	1001
jianshou_3	15	1	4	守护	这里是坚守4的说明	jianshou	坚守	10812	battlepool_model_01	stage3	1	5	300	0	1000	101	201	211			1000	1061	1000	1000	1001	1001	1001	1001	1001	1001
tanxian_0	3	1	4	瑞文的情报	据我们的斥候瑞文回报，在一处怪物占据的废弃神殿里发现了魔族放置的某种装置，尽快查明并破坏他们。	tanxian	探险	1892	battlepool_model_00	stage1	1	5	300	0	1000	101	211	212			1000	1000	1000	1000	1001	1001	1001	1067	1001	1001
tanxian_1	7	1	4	迷之雕像	这里是探险2的说明	tanxian	探险	5436	battlepool_model_00	stage2	3	5	400	0	1000	101	211	212			1002	1002	1070	1002	1003	1003	1003	1003	1003	1003
tanxian_2	11	1	4	探索	亲爱的勇士，这儿有许多潘多拉魔盒等着你来探索，当你打开时或许有惊喜，或许什么都没有，当然或许也有惊吓！考验你的时候到了，勇敢地去探索吧！	tanxian	探险	13400	battlepool_model_00	stage3	1	5	400	0	1000	101	211	212			1002	1002	1070	1002	1003	1003	1003	1003	1003	1003
tanxian_3	15	1	4	探索	亲爱的勇士，这儿有许多潘多拉魔盒等着你来探索，当你打开时或许有惊喜，或许什么都没有，当然或许也有惊吓！考验你的时候到了，勇敢地去探索吧！	tanxian	探险	13400	battlepool_model_00	stage3	1	5	400	0	1000	101	211	212			1002	1002	1070	1002	1003	1003	1003	1003	1003	1003
husong_0	2	1	4	前往神庙	护送斥候队长艾米尔前往一处神庙废墟，那里有我们的联络人留下的重要信息。路上必定会有重兵阻挠，务必完成任务	husong	护送	1440	battlepool_model_02	stage1	1	5	300	0	1000	101	501				1000	1000	1062	1000	1001	1001	1001	1001	1001	1001
husong_1	5	1	4	朝圣之路	这里是护送2的说明	husong	护送	2675	battlepool_model_02	stage2	1	5	400	0	1000	101	501				1002	1002	1002	1071	1003	1003	1003	1003	1003	1003
husong_2	11	1	4	迷失之地	这里是护送3的说明	husong	护送	5436	battlepool_model_02	stage3	1	5	500	0	1000	101	501				1004	1004	1004	1004	1005	1005	1005	1005	1005	1005
husong_3	15	1	4	迷失之地	这里是护送4的说明	husong	护送	5436	battlepool_model_02	stage3	1	5	500	0	1000	101	501				1004	1004	1004	1004	1005	1005	1005	1005	1005	1005
qianru_0	3	1	4	侦查小队	死亡骑士处于虚弱状态，我们要尽快杀掉他，削弱魔王的势力。但只有魅魔知道他的藏身之处。找到她，并打听到死亡骑士的位置。注意尽量不要惊动途中的怪物，引起死亡骑士的警觉！	qianru	潜入	1892	battlepool_model_03	stage1	1	5	300	0	1000	101	301	303	305		1000	1000	1000	1063	1001	1001	1001	1001	1001	1001
qianru_1	6	1	4	暗杀骑士	这里是潜入2的说明	qianru	潜入	3426	battlepool_model_03	stage2	1	5	400	0	1000	101	301	303	305		1002	1002	1002	1002	1072	1003	1003	1003	1003	1003
