ID	MonsterName	HeadIcon	ModelID	walkAnimName	IdleAnimName	HurtAnimName	HurtAnimTime	DieAnimName	ShowAniName	DropOutID	movespeed	Radius	hp	lv	power	att	def	hprecover	crit	critdamage	ignoredef	hpabsorb	tough	IsOnlyDamageValue	BloodHight	AttackList	SkillList	AIConfig	VisableArea
type	String	String	String	String	String	String	Float	String	String	String	Float	Float	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Bool	Float	StringArray|AnimType	StringArray|AnimType	String	String
note		头像图标		移动动作	待机动作	受伤动作	受伤动作播放时间	死亡动作	pose动作	掉落id	移动速度	占地半径		等级	战斗力	攻击力	防御力	生命恢复	暴击率	暴击伤害	破防	吸血	韧性	受伤动画	血条高度	攻击列表	技能列表	AI控制	警戒范围
default		Icon_tx_mw_002	null	null	null	null	0.2	siwang	show	jinbi	20	1.5	1	1	100	5	100	0	5	5	3	3	3	FALSE	-0.05	null	null	{"MoveConfig":{},"AttackConfig":{},"SkillConfig":[{},{},{},{}]}	Circle_5
Mon_emq_00	恶魔犬		Mon_emq_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	144	1		18	3	0	10	18	0	0	10	FALSE	-0.05	siyao			
Mon_emq_01	恶魔犬		Mon_emq_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	224	2		26	6	0	18	26	0	0	18	FALSE	-0.05	siyao			
Mon_emq_02	恶魔犬		Mon_emq_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	304	3		34	9	0	26	34	0	0	26	FALSE	-0.05	siyao			
Mon_emq_03	恶魔犬		Mon_emq_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	386	4		42	12	0	34	42	0	0	34	FALSE	-0.05	siyao			
Mon_emq_04	恶魔犬		Mon_emq_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	465	5		50	15	0	42	50	0	0	42	FALSE	-0.05	siyao			
Mon_emq_05	恶魔犬		Mon_emq_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	791	6		60	30	0	62	60	0	0	62	FALSE	-0.05	siyao			
Mon_emq_06	恶魔犬		Mon_emq_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	1344	7		82	45	0	82	82	0	0	82	FALSE	-0.05	siyao			
Mon_emq_07	恶魔犬		Mon_emq_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	2047	8		123	60	0	102	123	0	0	102	FALSE	-0.05	siyao			
Mon_emq_08	恶魔犬		Mon_emq_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	2697	9		145	75	0	122	145	0	0	122	FALSE	-0.05	siyao			
Mon_emq_09	恶魔犬		Mon_emq_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	3200	10		170	90	0	142	170	0	0	142	FALSE	-0.05	siyao			
Mon_emq_10	恶魔犬		Mon_emq_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	4306	11		220	123	0	191	220	0	0	191	FALSE	-0.05	siyao			
Mon_emq_11	恶魔犬		Mon_emq_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	5412	12		270	156	0	240	270	0	0	240	FALSE	-0.05	siyao			
Mon_emq_12	恶魔犬		Mon_emq_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	6518	13		320	189	0	289	320	0	0	289	FALSE	-0.05	siyao			
Mon_emq_13	恶魔犬		Mon_emq_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	7624	14		370	222	0	338	370	0	0	338	FALSE	-0.05	siyao			
Mon_emq_14	恶魔犬		Mon_emq_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	8730	15		420	255	0	387	420	0	0	387	FALSE	-0.05	siyao			
Mon_emq_15	恶魔犬		Mon_emq_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	10776	16		516	312	0	482	516	0	0	482	FALSE	-0.05	siyao			
Mon_emq_16	恶魔犬		Mon_emq_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	12822	17		612	369	0	577	612	0	0	577	FALSE	-0.05	siyao			
Mon_emq_17	恶魔犬		Mon_emq_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	14868	18		708	426	0	672	708	0	0	672	FALSE	-0.05	siyao			
Mon_emq_18	恶魔犬		Mon_emq_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	16914	19		804	483	0	767	804	0	0	767	FALSE	-0.05	siyao			
Mon_emq_19	恶魔犬		Mon_emq_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	18960	20		900	540	0	860	900	0	0	860	FALSE	-0.05	siyao			
Mon_emq_20	恶魔犬		Mon_emq_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	21533	21		1020	607	0	948	1020	0	0	948	FALSE	-0.05	siyao			
Mon_emq_21	恶魔犬		Mon_emq_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	25106	22		1170	684	0	1056	1170	0	0	1056	FALSE	-0.05	siyao			
Mon_emq_22	恶魔犬		Mon_emq_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	29679	23		1350	771	0	1184	1350	0	0	1184	FALSE	-0.05	siyao			
Mon_emq_23	恶魔犬		Mon_emq_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	35252	24		1560	868	0	1332	1560	0	0	1332	FALSE	-0.05	siyao			
Mon_emq_24	恶魔犬		Mon_emq_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	41828	25		1800	975	0	1500	1800	0	0	1500	FALSE	-0.05	siyao			
Mon_bf_00	火蝠魔		Mon_bf_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	144	1		15	5	0	10	15	0	0	10	FALSE	-0.05	kenshi	firebat_xianji		
Mon_bf_01	火蝠魔		Mon_bf_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	224	2		23	8	0	18	23	0	0	18	FALSE	-0.05	kenshi	firebat_xianji		
Mon_bf_02	火蝠魔		Mon_bf_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	304	3		31	11	0	26	31	0	0	26	FALSE	-0.05	kenshi	firebat_xianji		
Mon_bf_03	火蝠魔		Mon_bf_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	386	4		39	14	0	34	39	0	0	34	FALSE	-0.05	kenshi	firebat_xianji_1		
Mon_bf_04	火蝠魔		Mon_bf_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	465	5		48	17	0	42	48	0	0	42	FALSE	-0.05	kenshi	firebat_xianji_1		
Mon_bf_05	火蝠魔		Mon_bf_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	791	6		68	36	0	62	68	0	0	62	FALSE	-0.05	kenshi	firebat_xianji_1		
Mon_bf_06	火蝠魔		Mon_bf_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	1344	7		88	55	0	82	88	0	0	82	FALSE	-0.05	kenshi	firebat_xianji_2		
Mon_bf_07	火蝠魔		Mon_bf_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	2047	8		108	74	0	102	108	0	0	102	FALSE	-0.05	kenshi	firebat_xianji_2		
Mon_bf_08	火蝠魔		Mon_bf_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	2697	9		128	93	0	122	128	0	0	122	FALSE	-0.05	kenshi	firebat_xianji_2		
Mon_bf_09	火蝠魔		Mon_bf_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	3200	10		150	112	0	142	150	0	0	142	FALSE	-0.05	kenshi	firebat_xianji_3		
Mon_bf_10	火蝠魔		Mon_bf_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	4306	11		196	142	0	191	196	0	0	191	FALSE	-0.05	kenshi	firebat_xianji_3		
Mon_bf_11	火蝠魔		Mon_bf_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	5412	12		242	172	0	240	242	0	0	240	FALSE	-0.05	kenshi	firebat_xianji_3		
Mon_bf_12	火蝠魔		Mon_bf_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	6518	13		288	202	0	289	288	0	0	289	FALSE	-0.05	kenshi	firebat_xianji_3		
Mon_bf_13	火蝠魔		Mon_bf_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	7624	14		334	232	0	338	334	0	0	338	FALSE	-0.05	kenshi	firebat_xianji_4		
Mon_bf_14	火蝠魔		Mon_bf_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	8730	15		380	262	0	387	380	0	0	387	FALSE	-0.05	kenshi	firebat_xianji_4		
