lv	gold	diamond	exp	expneed	phy	renown	power	att	def	hp	hprecover	crit	critdamage	ignoredef	hpabsorb	movespeed	tough
Int	Int	Float	Int	Int	Float	Int	Int	Int	Int	Int	Int	Float	Float	Float	Float	Int	Int
等级	金币	钻石	经验值	升级经验	体力值	声望	战斗力	攻击力	防御力	生命值	生命恢复	暴击率	暴击伤害	破防(千分比)	吸血(千分比)	移动速度	韧性
0	2000	1	100	0	100	10	1436	35	5	200	1	50	50	5	0	5	20
1	2000	1	227	127	100	10	1481	36	6	220	4	51	51	6	0	5	26
2	2000	1	480	253	100	10	1527	37	7	242	6	52	52	7	0	5	27
3	2000	1	860	380	100	10	1579	38	8	266	7	53	53	8	0	5	28
4	2000	1	1367	507	100	10	1627	39	9	293	8	54	54	9	0	5	29
5	2000	1	2250	883	100	10	1677	40	10	322	9	55	55	10	0	5	30
6	2000	1	3310	1060	100	10	1734	42	11	370	10	57	57	13	0	5	32
7	2000	1	4547	1237	100	10	1787	44	12	426	11	59	59	16	0	5	34
8	2000	1	5960	1413	100	10	1842	46	13	490	12	61	61	19	0	5	36
9	2000	1	7550	1590	100	10	1904	48	14	563	13	63	63	22	0	5	38
10	2000	1	9816	2267	100	10	1962	50	15	648	14	65	65	25	0	5	40
11	2000	1	12310	2493	100	10	2022	53	18	777	15	68	68	30	0	5	43
12	2000	1	15030	2720	100	10	2089	56	21	933	16	71	71	35	0	5	46
13	2000	1	17976	2947	100	10	2154	59	24	1120	17	74	74	40	0	5	49
14	2000	1	21150	3173	100	10	2220	62	27	1287	18	77	77	45	0	5	52
15	2000	1	26049	4900	100	10	2293	65	30	1481	19	80	80	50	0	5	55
16	2000	1	31276	5227	100	10	2364	69	33	1703	20	84	84	55	0	5	59
17	2000	1	36829	5553	100	10	2437	73	36	1958	21	88	88	60	0	5	63
18	2000	1	42709	5880	100	10	2517	77	39	2252	22	92	92	65	0	5	67
19	2000	1	48916	6207	100	10	2595	81	42	2589	23	96	96	70	0	5	71
20	2000	1	57449	8533	100	10	2675	85	45	2978	24	100	100	75	0	5	75
21	2000	1	66409	8960	100	10	2763	90	49	3127	25	106	106	83	0	5	80
22	2000	1	75796	9387	100	10	2849	95	53	3283	26	112	112	91	0	5	85
23	2000	1	85609	9813	100	10	2937	100	57	3447	27	118	118	99	0	5	90
24	2000	1	95849	10240	100	10	3033	105	61	3620	28	124	124	107	0	5	95
25	2000	1	109015	13167	100	10	3127	110	65	3801	29	130	130	115	0	5	100
26	2000	1	122708	13693	100	10	3223	116	69	3991	30	136	136	123	0	5	106
27	2000	1	136928	14220	100	10	3328	122	73	4190	31	142	142	131	0	5	112
28	2000	1	151675	14747	100	10	3431	128	77	4400	32	148	148	139	0	5	118
29	2000	1	166948	15273	100	10	3536	134	81	4620	33	154	154	147	0	5	124
30	2000	1	185748	18800	100	10	3650	140	85	4851	34	160	160	157	0	5	130
31	2000	1	205175	19427	100	10	3762	147	90	5093	35	167	167	167	0	5	137
32	2000	1	225228	20053	100	10	3877	154	95	5348	36	174	174	177	0	5	144
33	2000	1	245908	20680	100	10	4001	161	100	5615	37	181	181	187	0	5	151
34	2000	1	267214	21307	100	10	4122	168	105	5896	38	188	188	197	0	5	158
35	2000	1	292647	25433	100	10	4247	175	110	6191	39	195	195	207	0	5	165
36	2000	1	318807	26160	100	10	4381	185	115	6500	40	203	203	217	0	5	175
37	2000	1	345694	26887	100	10	4513	195	120	6825	41	211	211	227	0	5	185
38	2000	1	373307	27613	100	10	4649	205	125	7167	42	219	219	237	0	5	195
39	2000	1	401647	28340	100	10	4794	215	130	7525	43	227	227	247	0	5	205
40	2000	1	434713	33066	100	10	4937	225	135	7901	44	235	235	260	0	5	215
41	2000	1	468606	33893	100	10	5085	237	141	8296	45	245	245	273	0	5	227
42	2000	1	503326	34720	100	10	5241	249	147	8711	46	255	255	286	0	5	239
43	2000	1	538873	35546	100	10	5397	261	153	9147	47	265	265	299	0	5	251
44	2000	1	575246	36373	100	10	5555	273	159	9604	48	275	275	312	0	5	263
45	2000	1	621446	46200	100	10	5724	285	165	10084	49	285	285	325	0	5	275
46	2000	1	668672	47226	100	10	5891	300	171	10588	50	300	300	338	0	5	290
47	2000	1	716925	48253	100	10	6064	315	177	11118	51	315	315	351	0	5	305
48	2000	1	766205	49280	100	10	6244	330	183	11674	52	330	330	364	0	5	320
49	2000	1	816511	50306	100	10	6424	345	189	12257	53	345	345	377	0	5	335
50	2000	1	877845	61333	100	10	0	360	195	12870	54	360	360	390	0	5	350
