TrapID	ModelID	IdleAnimName	HurtAnimName	HurtAnimTime	DieAnimName	DropOutID	hp	lv	power	att	def	hprecover	crit	critdamage	ignoredef	hpabsorb	tough	BloodHight	AttackList	SkillList	AutoTrigger	TriggerSpace	TriggerArea	BodyArea	EveryOneCanRemove	RemoveSkill	isCollideTrigger
type	String	String	String	Float	String	String	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Float	StringArray|HardPointEnum	StringArray|HardPointEnum	Bool	Float	String	String	Bool	String	Bool
note						ID		等级	战斗力	攻击力	防御力	生命恢复	暴击率	暴击伤害	破防	吸血	韧性	Y			自动触发	触发间隔			每个人都能拆除	拆除技能	是否通过碰撞触发
default	null	null	null	0	null	null	0	1	500	500	5	3	3	3	3	3	3	0	null	null	FALSE	3	Rectangle1x1	Rectangle1x1	FALSE	null	FALSE
TanBan_00	Tanban_00_00								5	20	0	0	10	20	0	0	0		Tanban_Trigger	TrapInvincible|TrapCloaking		5	Rectangle1x1	Rectangle1x1			
TanBan_01	Tanban_00_00								5	32	0	0	26	32	0	0	0		Tanban_Trigger	TrapInvincible|TrapCloaking		5	Rectangle1x1	Rectangle1x1			
TanBan_02	Tanban_00_00								5	65	0	0	42	65	0	0	0		Tanban_Trigger	TrapInvincible|TrapCloaking		5	Rectangle1x1	Rectangle1x1			
TanBan_03	Tanban_00_00								5	98	0	0	102	98	0	0	0		Tanban_Trigger	TrapInvincible|TrapCloaking		5	Rectangle1x1	Rectangle1x1			
TanBan_04	Tanban_00_00								5	152	0	0	191	152	0	0	0		Tanban_Trigger	TrapInvincible|TrapCloaking		5	Rectangle1x1	Rectangle1x1			
TanBan_05	Tanban_00_00								5	243	0	0	338	243	0	0	0		Tanban_Trigger	TrapInvincible|TrapCloaking		5	Rectangle1x1	Rectangle1x1			
TanBan_06	Tanban_00_00								5	378	0	0	482	378	0	0	0		Tanban_Trigger	TrapInvincible|TrapCloaking		5	Rectangle1x1	Rectangle1x1			
TanBan_07	Tanban_00_00								5	568	0	0	672	568	0	0	0		Tanban_Trigger	TrapInvincible|TrapCloaking		5	Rectangle1x1	Rectangle1x1			
TanBan_08	Tanban_00_00								5	756	0	0	860	756	0	0	0		Tanban_Trigger	TrapInvincible|TrapCloaking		5	Rectangle1x1	Rectangle1x1			
TanBan_09	Tanban_00_00								5	987	0	0	860	987	0	0	0		Tanban_Trigger	TrapInvincible|TrapCloaking		5	Rectangle1x1	Rectangle1x1			
LuZhang_00	Luzhang_02_00				Luzhang_02_00_die		2000													TrapInvincible|				Rectangle1x3			
HuoYan_00	PenzuiA_00_00									30	0	0	10	30	0	0	0		PenHuo	TrapInvincible|	TRUE	5					
HuoYan_01	PenzuiA_00_00									41	0	0	26	41	0	0	0		PenHuo	TrapInvincible|	TRUE	5					
HuoYan_02	PenzuiA_00_00									101	0	0	42	101	0	0	0		PenHuo	TrapInvincible|	TRUE	5					
HuoYan_03	PenzuiA_00_00									142	0	0	102	142	0	0	0		PenHuo	TrapInvincible|	TRUE	5					
HuoYan_04	PenzuiA_00_00									225	0	0	191	225	0	0	0		PenHuo	TrapInvincible|	TRUE	5					
