weaponid	weaponfield	name	weaponname	info	Qualitylevel	qualitynumber	Qualityframe	icon	gs	outfitnumber	gem_count	enchant_count	enchant_money_need	enchant_item_need_211	enchant_item_need_212	enchant_item_need_213	enchant_item_need_214	enchant_item_need_215	att	def	hp	hprecover	crit	critdamage	ignoredef	hpabsorb	movespeed	tough	ModelName	local_position	local_euler_angles	local_scale	AttackList	SkillList	WalkAnimName	m_idleAnimName
type	Int	String	String	String	String	Float	String	String	Float	Float	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	StringArray|AnimType	Vector3	Vector3	Vector3	StringArray|AnimType	StringArray|AnimType	String	String
note	装备位置id: 1 武器 2 肩膀 3胸甲 4 手腕 5 腰带 6裤子 7鞋子	装备名称	装备名称	说明	品质等级	装备品质系数	品质边框id	图标id	装备等级	装备等级系数	可镶嵌宝石数量	可附魔条数	附魔需要的钱	附魔需要的材料211数量	附魔需要的材料212数量	附魔需要的材料213数量	附魔需要的材料214数量	附魔需要的材料215数量	攻击力	防御力	生命值	生命恢复	暴击率	暴击伤害	破防	吸血	移动速度	韧性	武器模型名字，竖线分割给01,02号挂载点	位置	旋转	缩放	攻击列表 	技能列表	行走动画	站立动画
default	1	这是一个装备的说明	匕首	匕首	white	2.000	zb_hover_1	Icon_zb_030	0.0	1.000	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	null	-14|126|0	-90|90|0	400|400|400	null	null	null	null
1201	1	铁剑	白色大剑	白色大剑	white	0.048	zb_hover_1	Icon_zb_220	16.0	0.160	1	1	0	1	0	0	0	0	25	0	0	0	0	0	0	0	0	0	wp_dajian_01	-14|126|0	-90|90|0	400|400|400	att11|att12|att13|att14	chongZhuang|qinLong|lieDiJi|XuanFengZhan	war_run	war_stand
1202	1	铁剑	白色大剑	白色大剑	white	0.050	zb_hover_1	Icon_zb_220	41.4	0.414	0	1	0	1	0	0	0	0	96	0	0	0	0	0	0	0	0	0	wp_dajian_01	-14|126|0	-90|90|0	400|400|400	att11|att12|att13|att14	chongZhuang|qinLong|lieDiJi|XuanFengZhan	war_run	war_stand
1203	1	铁剑	白色大剑	白色大剑	white	0.049	zb_hover_1	Icon_zb_220	31.8	0.318	1	1	0	1	0	0	0	0	57	0	0	0	0	0	0	0	0	0	wp_dajian_01	-14|126|0	-90|90|0	400|400|400	att11|att12|att13|att14	chongZhuang|qinLong|lieDiJi|XuanFengZhan	war_run	war_stand
1204	1	铁剑	白色大剑	白色大剑	white	0.051	zb_hover_1	Icon_zb_220	54.0	0.540	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	wp_dajian_01	-14|126|0	-90|90|0	400|400|400	att11|att12|att13|att14	lieDiJi|XuanFengZhan	war_run	war_stand
1205	1	暴风大剑	白色大剑	白色大剑	white	0.051	zb_hover_1	Icon_zb_220	58.8	0.588	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	wp_dajian_01	-14|126|0	-90|90|0	400|400|400	att11|att12|att13|att14	qinLong|XuanFengZhan	war_run	war_stand
1206	1	暴风大剑	蓝色大剑	蓝色大剑	blue	0.050	zb_hover_2	Icon_zb_221	38.0	0.380	1	2	0	2	1	0	0	0	80	0	0	0	0	0	0	0	0	0	wp_dajian_01	-14|126|0	-90|90|0	400|400|400	att11|att12|att13|att14	qinLong|lieDiJi|XuanFengZhan	war_run	war_stand
1207	1	暴风大剑	蓝色大剑	蓝色大剑	blue	0.051	zb_hover_2	Icon_zb_221	43.8	0.438	1	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	wp_dajian_01	-14|126|0	-90|90|0	400|400|400	att11|att12|att13|att14	chongZhuang|lieDiJi|XuanFengZhan	war_run	war_stand
1208	1	暴风大剑	蓝色大剑	蓝色大剑	blue	0.051	zb_hover_2	Icon_zb_221	36.0	0.360	0	1	0	1	0	0	0	0	98	0	0	0	0	0	0	0	0	0	wp_dajian_01	-14|126|0	-90|90|0	400|400|400	att11|att12|att13|att14	chongZhuang|qinLong|XuanFengZhan	war_run	war_stand
1209	1	暴风大剑	蓝色大剑	蓝色大剑	blue	0.051	zb_hover_2	Icon_zb_221	53.0	0.530	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	wp_dajian_01	-14|126|0	-90|90|0	400|400|400	att11|att12|att13|att14	chongZhuang|qinLong|lieDiJi	war_run	war_stand
1210	1	水晶剑	紫色大剑	紫色大剑	purple	0.050	zb_hover_3	Icon_zb_222	61.2	0.612	3	2	0	2	1	0	0	0	140	0	0	0	0	0	0	0	0	0	wp_dajian_01	-14|126|0	-90|90|0	400|400|400	att11|att12|att13|att14	qinLong|lieDiJi|XuanFengZhan	war_run	war_stand
1211	1	水晶剑	紫色大剑	紫色大剑	purple	0.051	zb_hover_3	Icon_zb_222	60.9	0.609	2	1	0	1	0	0	0	0	163	0	0	0	0	0	0	0	0	0	wp_dajian_01	-14|126|0	-90|90|0	400|400|400	att11|att12|att13|att14	chongZhuang|qinLong|lieDiJi|XuanFengZhan	war_run	war_stand
1212	1	水晶剑	紫色大剑	紫色大剑	purple	0.051	zb_hover_3	Icon_zb_222	66.0	0.660	1	1	0	1	0	0	0	0	196	0	0	0	0	0	0	0	0	0	wp_dajian_01	-14|126|0	-90|90|0	400|400|400	att11|att12|att13|att14	chongZhuang|qinLong|lieDiJi|XuanFengZhan	war_run	war_stand
1213	1	水晶剑	紫色大剑	紫色大剑	purple	0.050	zb_hover_3	Icon_zb_222	54.0	0.540	3	1	0	1	0	0	0	0	124	0	0	0	0	0	0	0	0	0	wp_dajian_01	-14|126|0	-90|90|0	400|400|400	att11|att12|att13|att14	chongZhuang|qinLong|XuanFengZhan	war_run	war_stand
1214	1	炽天使之剑	金色大剑	金色大剑	gold	0.051	zb_hover_4	Icon_zb_223	67.2	0.672	2	4	0	4	3	2	1	0	180	0	0	0	0	0	0	0	0	0	wp_dajian_01	-14|126|0	-90|90|0	400|400|400	att11|att12|att13|att14	chongZhuang|qinLong|lieDiJi|XuanFengZhan	war_run	war_stand
1215	1	天堂审判之剑	橙色大剑	橙色大剑	epic	0.051	zb_hover_5	Icon_zb_224	67.2	0.672	3	2	0	2	1	0	0	0	220	0	0	0	0	0	0	0	0	0	wp_dajian_01	-14|126|0	-90|90|0	400|400|400	att11|att12|att13|att14	chongZhuang|qinLong|lieDiJi|XuanFengZhan	war_run	war_stand
1301	1	魔力法杖	白色法杖	白色法杖	white	0.048	zb_hover_1	Icon_zb_130	16.0	0.160	1	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	wp_faZhang_01	-10.4|298.44|0	-90|90|0	300|300|300	att21|att22|att23|att24	baoLie|hanBing|feiDan|heiDong	wiz_run	wiz_stand
1302	1	魔力法杖	白色法杖	白色法杖	white	0.050	zb_hover_1	Icon_zb_130	33.8	0.338	0	1	0	1	0	0	0	0	77	0	0	0	0	0	0	0	0	0	wp_faZhang_01	-10.4|298.44|0	-90|90|0	300|300|300	att21|att22|att23|att24	feiDan	wiz_run	wiz_stand
1303	1	魔力法杖	白色法杖	白色法杖	white	0.048	zb_hover_1	Icon_zb_130	24.6	0.246	1	1	0	1	0	0	0	0	39	0	0	0	0	0	0	0	0	0	wp_faZhang_01	-10.4|298.44|0	-90|90|0	300|300|300	att21|att22|att23|att24	hanBing|feiDan	wiz_run	wiz_stand
1304	1	魔力法杖	白色法杖	白色法杖	white	0.051	zb_hover_1	Icon_zb_130	41.6	0.416	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	wp_faZhang_01	-10.4|298.44|0	-90|90|0	300|300|300	att21|att22|att23|att24	baoLie|feiDan	wiz_run	wiz_stand
1305	1	魔力法杖	白色法杖	白色法杖	white	0.051	zb_hover_1	Icon_zb_130	50.4	0.504	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	wp_faZhang_01	-10.4|298.44|0	-90|90|0	300|300|300	att21|att22|att23|att24	baoLie|hanBing|feiDan|heiDong	wiz_run	wiz_stand
1306	1	幽魂权杖	蓝色法杖	蓝色法杖	blue	0.050	zb_hover_2	Icon_zb_131	38.0	0.380	1	2	0	2	1	0	0	0	80	0	0	0	0	0	0	0	0	0	wp_faZhang_01	-10.4|298.44|0	-90|90|0	300|300|300	att21|att22|att23|att24	hanBing|feiDan|heiDong	wiz_run	wiz_stand
1307	1	幽魂权杖	蓝色法杖	蓝色法杖	blue	0.051	zb_hover_2	Icon_zb_131	39.7	0.397	1	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	wp_faZhang_01	-10.4|298.44|0	-90|90|0	300|300|300	att21|att22|att23|att24	baoLie|feiDan|heiDong	wiz_run	wiz_stand
1308	1	幽魂权杖	蓝色法杖	蓝色法杖	blue	0.051	zb_hover_2	Icon_zb_131	29.6	0.296	0	1	0	1	0	0	0	0	79	0	0	0	0	0	0	0	0	0	wp_faZhang_01	-10.4|298.44|0	-90|90|0	300|300|300	att21|att22|att23|att24	baoLie|hanBing|heiDong	wiz_run	wiz_stand
