id	func	name_text_left	img_left	name_text_right	img_right	dia_text
type	String	String	String	String	String	String
note	功能选择,dia为对话,其他待定	左边的角色名字	左边的角色头像	右边的角色名字	右边的角色头像	对话内容
default	dia	none	none	none	none	none
1	dia	教官	big_head_7			圣女阁下没事吧！
2	dia			圣女	big_head_2	多亏了这位勇士，才没有造成巨大的损失。
3	dia	教官	big_head_7			对了，之前我们在某处遗迹发现了一个奇特的物件，圣女阁下能否看看这是什么？
4	dia			圣女	big_head_2	这。。这个不是圣光之眼的碎片吗？！你们在哪里找到的？？
5	dia	player	big_head_5|big_head_6			圣光之眼？？
6	dia			圣女	big_head_2	第一次圣魔大战，就是以当年圣女引爆圣光之眼儿终结的，自此之后圣光之眼，这块碎片是谁找到的。
7	dia	player	big_head_5|big_head_6			额。。。是我。
8	dia			圣女	big_head_2	我必须亲自去看一看那个地方，这件事无比重要！
