id	white_gold	white_stone1	white_stone2	white_stone3	blue_gold	blue_stone1	blue_stone2	blue_stone3	purple_gold	purple_stone1	purple_stone2	purple_stone3	gold_gold	gold_stone1	gold_stone2	gold_stone3	epic_gold	epic_stone1	epic_stone2	epic_stone3
type	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int
note	强化要的钱	需要的低级强化石	中级强化石	高级强化石	强化要的钱	需要的低级强化石	中级强化石	高级强化石	强化要的钱	需要的低级强化石	中级强化石	高级强化石	强化要的钱	需要的低级强化石	中级强化石	高级强化石	强化要的钱	需要的低级强化石	中级强化石	高级强化石
default	5	0	0	0	5	0	0	0	5	0	0	0	5	0	0	0	5	0	0	0
0	360	1	0	0	420	1	5	0	480	1	7	0	510	1	9	2	600	1	11	6
1	494	2	0	0	576	2	5	0	658	2	7	0	699	2	9	2	823	2	11	6
2	628	3	0	0	732	3	5	0	836	3	7	0	888	3	9	2	1046	3	11	6
3	762	4	0	0	888	4	5	0	1014	4	7	0	1077	4	9	2	1269	4	11	6
4	896	5	0	0	1044	5	5	0	1192	5	7	0	1266	5	9	2	1492	5	11	6
5	1030	6	0	0	1200	6	5	0	1370	6	7	0	1455	6	9	2	1715	6	11	6
6	1164	7	0	0	1356	7	5	0	1548	7	7	0	1644	7	9	2	1938	7	11	6
7	1298	8	0	0	1512	8	5	0	1726	8	7	0	1833	8	9	2	2161	8	11	6
8	1432	9	0	0	1668	9	5	0	1904	9	7	0	2022	9	9	2	2384	9	11	6
9	1566	10	0	0	1824	10	5	0	2082	10	7	0	2211	10	9	2	2607	10	11	6
10	1700	12	0	0	1980	12	5	0	2260	12	7	0	2400	12	9	2	2830	12	11	6
11	1834	14	0	0	2136	14	5	0	2438	14	7	0	2589	14	9	2	3053	14	11	6
12	1968	16	0	0	2292	16	5	0	2616	16	7	0	2778	16	9	2	3276	16	11	6
13	2102	18	0	0	2448	18	5	0	2794	18	7	0	2967	18	9	2	3499	18	11	6
14	2236	20	0	0	2604	20	5	0	2972	20	7	0	3156	20	9	2	3722	20	11	6
15	2370	15	1	0	2760	15	6	0	3150	15	8	0	3345	15	10	3	3945	15	12	7
16	2504	16	1	0	2916	16	6	0	3328	16	8	1	3534	16	10	3	4168	16	12	7
17	2638	17	1	0	3072	17	6	0	3506	17	8	1	3723	17	10	3	4391	17	12	7
18	2772	18	1	0	3228	18	6	0	3684	18	8	1	3912	18	10	3	4614	18	12	7
19	2906	19	1	0	3384	19	6	0	3862	19	8	1	4101	19	10	3	4837	19	12	7
20	3040	20	1	0	3540	20	6	0	4040	20	8	1	4290	20	10	3	5060	20	12	7
21	3174	21	1	0	3696	21	6	0	4218	21	8	1	4479	21	10	3	5283	21	12	7
22	3308	22	1	0	3852	22	6	0	4396	22	8	1	4668	22	10	3	5506	22	12	7
23	3442	23	1	0	4008	23	6	0	4574	23	8	1	4857	23	10	3	5729	23	12	7
24	3576	24	1	0	4164	24	6	0	4752	24	8	1	5046	24	10	3	5952	24	12	7
25	3710	20	2	0	4320	20	7	1	4930	20	9	2	5235	20	11	4	6175	20	13	8
26	3844	21	2	0	4476	21	7	1	5108	21	9	2	5424	21	11	4	6398	21	13	8
27	3978	22	2	0	4632	22	7	1	5286	22	9	2	5613	22	11	4	6621	22	13	8
28	4112	23	2	0	4788	23	7	1	5464	23	9	2	5802	23	11	4	6844	23	13	8
29	4246	24	2	0	4944	24	7	1	5642	24	9	2	5991	24	11	4	7067	24	13	8
30	4380	25	2	0	5100	25	7	1	5820	25	9	2	6180	25	11	4	7290	25	13	8
31	4514	26	2	0	5256	26	7	1	5998	26	9	2	6369	26	11	4	7513	26	13	8
32	4648	27	2	0	5412	27	7	1	6176	27	9	2	6558	27	11	4	7736	27	13	8
33	4782	28	2	0	5568	28	7	1	6354	28	9	2	6747	28	11	4	7959	28	13	8
34	4916	29	2	0	5724	29	7	1	6532	29	9	2	6936	29	11	4	8182	29	13	8
35	5050	25	3	1	5880	25	8	2	6710	25	10	3	7125	25	12	5	8405	25	14	9
36	5184	26	3	1	6036	26	8	2	6888	26	10	3	7314	26	12	5	8628	26	14	9
37	5318	27	3	1	6192	27	8	2	7066	27	10	3	7503	27	12	5	8851	27	14	9
38	5452	28	3	1	6348	28	8	2	7244	28	10	3	7692	28	12	5	9074	28	14	9
39	5586	29	3	1	6504	29	8	2	7422	29	10	3	7881	29	12	5	9297	29	14	9
40	5720	30	3	1	6660	30	8	2	7600	30	10	3	8070	30	12	5	9520	30	14	9
41	5854	31	3	1	6816	31	8	2	7778	31	10	3	8259	31	12	5	9743	31	14	9
42	5988	32	3	1	6972	32	8	2	7956	32	10	3	8448	32	12	5	9966	32	14	9
43	6122	33	3	1	7128	33	8	2	8134	33	10	3	8637	33	12	5	10189	33	14	9
44	6256	34	3	1	7284	34	8	2	8312	34	10	3	8826	34	12	5	10412	34	14	9
45	6390	30	4	2	7440	30	9	3	8490	30	11	4	9015	30	13	6	10635	30	15	10
