AreaID	SkewDirection	SkewDistance	Shape	Length	Width	Angle	Radius
type	Enum|DirectionEnum	Float	Enum|AreaType	Float	Float	Float	Float
note	方向	偏移距离	形状	矩形长	矩形宽	扇形角度	半径
default	Forward	0	Sector	0	0	100	2.5
normal01	Forward	0	Sector	0	0	100	2.5
normal02	Forward	0	Sector	0	0	85	4.5
normalLarge	Forward	0	Sector	0	0	120	2.5
normalWide	Forward	0	Sector	0	0	120	3.5
normalLong	Forward	0	Sector	0	0	50	2.5
thinLong1	Forward	0	Sector	0	0	40	5
thinLong2	Forward	0	Sector	0	0	20	8
Rectangle1x1			Rectangle	1	1		
Rectangle4.5x0.15			Rectangle	4.5	0.15		
Rectangle1x3			Rectangle	1	3		
Circle_10			Circle				10
NoOffSet			Circle				0
Circle_5			Circle				5
gongjianshou	Forward	0	Sector	0	0	50	2.5
zhaohuan	Forward	2					
qinlong							2.5
chongzhuang	Forward	1	Rectangle	2	3		
Circle_24			Circle				2.5
Sector_20_1	Forward	0	Sector	0	0	20	1
Sector_20_2.5	Forward	0	Sector	0	0	20	2.5
Circle_3			Circle				3
Circle_05			Circle				0.5
feiDan	Forward	4	Circle				1
Circle_1			Circle				1
baoLie	Forward	2.5	Circle				2
Rectangle5x2.5			Rectangle	5	2.5		
Circle_2_F2	Forward	2	Circle				2
Circle_5_F5	Forward	5	Circle				5
Rectangle4x1.5		2	Rectangle	4	1.5		
Rectangle10x2.5OffSet		5	Rectangle	10	2.5		
Circle_8	Close		Sector			200	8
Rectangle5x2.5_F		2.5	Rectangle	5	2.5		
Sector_30_10	Forward		Sector			30	10
LongWide	Forward	0	Sector	0	0	120	5
Circle_1.5			Circle				1.5
Circle_6			Circle				6
