StatusStyleID	AnimName	Time	SFXDelay	SFXName	FXCreatPoint	FXLifeTime	FXDelay	FXName	FollowFXCreatPoint	FollowFXLifeTime	FollowFXName	CameraMove	FollowFXOffSet	FXOffSet
type	String	Float|AnimType	Float	String	Enum|HardPointEnum	Float	Float	String	Enum|HardPointEnum	Float	String	String	Float	Float
note	动作名字	状态持续时间	音效延迟	音效文件	特效创建点	特效存活时间	特效延迟	特效名称	跟随特效创建点	特效时间	特效名	镜头特写	跟随特效偏移	特效偏移
default	hero_male_attack_1	0	0	null	position	1	0	null	Weapon_01	1	null	null	0	0
1999	att_m1	0.4												
2000	att_m1	0.4												
2001	att_m1	0.4												
2002	att_s	0.35						EFX_bolt_001						
2003	att_m1	0.4												
2100	att_m1	0.2						EFX_soil_01_1						
2101	att_m2													
2102	att_m1	0.2				2	0.4	EFX_firesoil_01_1						4
2103	att_m2	0.4					0.4	EFX_boltwater_01_1						5
2104	att_m1	1.8						EFX_soil_01_1						
2105	att_m1	0.35						EFX_soil_01_1						
3101		0.1						EFX_soil_01_1						
3102		2						EFX_soil_01_1						
NoTimeDefaultSkillStatus	att_m1													
defaultSkillStatus	att_m1													
